-67, 0
-132, -92
-53, 20
-53, 19
-53, -7
-54, 20
-54, 19
-54, 18
-55, 20
-55, 19
-56, 20
-65, 2
-65, 1
-65, 0
-65, -1
-66, 2
-66, 1
-66, 0
-66, -1
-67, 3
-67, 1
-67, -1
-68, 3
-68, 2
-68, 1
-68, 0
-68, -1
-69, 3
-69, 2
-69, 1
-69, 0
-69, -1
-101, -44
-101, -45
-101, -46
-101, -47
-101, -48
-101, -49
-102, -43
-102, -45
-102, -47
-102, -48
-101, -60
-103, -42
-103, -43
-103, -44
-103, -45
-103, -48
-103, -49
-104, -42
-104, -43
-104, -49
-104, -59
-105, 27
-105, -41
-105, -42
-105, -43
-105, -44
-106, -42 
-106, -44
-109, -86
-115, -2
-82, 17
-112, -2
-76, -97
-52, 19
-52, 20
-50, -55
-50, -54
-112, -3
-86, 7
-49, -57
-49, -56
-49, -55
-49, -54
-92, -26
-85, -110
-83, 17
-48, -76
-48, -56
-48, -55
-48, -54
-92, -25
-112, -1
-83, 18
-87, -65
-83, 16
-83, 19
-87, -44
-101, 29
-101, -43
-39, -132
-38, -133
-38, -132
-38, -131
-38, -130
-37, -125
-37, -103
-36, -104
-36, -103
-36, -102
-36, -101
-35, -105
-35, -104
-35, -103
-35, -102
-35, -101
-34, -105
-34, -104
-34, -103
-34, -102
-33, -106
-33, -105
-33, -104
-33, -103
-33, -102
-33, -101
-149, -99
-147, -98
-144, -55
-144, -22
-140, -19
-140, -14
-140, -13
-139, -86
-139, -85
-139, -13
-138, -87
-138, -86
-138, -85
-138, -84
-138, -60
-137, -88
-137, -87
-137, -86
-137, -85
-137, -84
-137, -83
-136, -90
-136, -89
-136, -88
-136, -87
-136, -86
-136, -85
-136, -84
-136, -83
-136, -82
-136, -42
-136, -41
-135, -91
-135, -90
-135, -89
-135, -88
-135, -87
-135, -86
-135, -85
-135, -84
-135, -83
-135, -82
-134, -92
-134, -91
-134, -90
-134, -89
-134, -88
-134, -87
-134, -86
-134, -85
-134, -84
-134, -83
-134, -82
-133, -93
-133, -92
-133, -91
-133, -90
-133, -89
-133, -88
-133, -87
-133, -86
-133, -85
-133, -84
-133, -83
-133, -82
-133, -83
-133, -82
-82, 18
-132, -91
-132, -90
-132, -89
-132, -88
-132, -87
-132, -86
-132, -85
-132, -84
-132, -83
-132, -82
-131, -91
-131, -90
-131, -89
-131, -88
-131, -87
-131, -86
-131, -85 
-131, -84
-131, -83
-131, -82
-130, -90
-130, -89
-130, -88
-130, -87
-130, -86
-130, -85
-130, -84
-130, -83
-130, -82
-129, -89
-129, -88
-129, -87
-129, -86
-129, -85
-129, -84
-129, -83
-129, -4
-129, -3
-129, -1
-129, 0
-128, -88
-128, -87
-128, -86
-128, -85
-128, -84
-128, -1
-128, 1
-128, 3
-127, -87
-127, -86
-127, -85
-127, -7
-127, -3
-127, -2
-127, 0
-127, 1
-127, 2
-127, 8
-126, -86
-126, -7
-126, -3
-126, -1
-126, 2
-126, 3
-126, 4
-126, 5
-125, -86
-125, -5
-125, -4
-125, -3
-125, 4
-124, -97
-124, -82
-124, -5
-124, -4
-124, 2
-124, 3
-124, 5
-123, -5
-123, -4
-122, -8
-122, 2
-122, 3
-122, 4
-121, 6
-121, 8
-120, 5
-120, 7
-120, 8
-119, -143
-119, -9
-119, -8
-119, -7
-119, -6
-119, -5
-119, -4
-119, -3
-119, -2
-119, 2
-119, 3
-119, 4
-119, 5
-119, 6
-118, -9
-118, -8
-118, -7
-118, -5
-118, -4
-118, -3
-118, -2
-118, 3
-118, 4
-118, 5
-118, 9
-118, 28
-117, -9
-117, -8
-117, -7
-117, -6
-117, -5
-117, -3
-117, -2
-117, 4
-117, 5
-117, 6
-117, 9
-116, -9
-116, -8
-116, -7
-116, -6
-116, -5
-116, -2
-116, 6
-116, 7
-115, -85
-115, -9
-115, -8
-115, -7
-115, -6
-115, 7
-114, -9
-114, -8
-114, -7
-114, 1
-114, 6
-114, 7
-113, -9

# 332
